Experiment:, Cathode characterisation
Start date:, ?ter? 25. ?ervence 2023
Start time:, 11:38:22 +02:00
Time (s), Current Density (A/cm2)
901, 7.587018
902, 1.128222
903, 0.3306472
904, 0.4084375
905, 0.386547
906, 0.3693472
907, 0.358402
908, 0.3505839
909, 0.3586144
910, 0.3545418
911, 0.3517223
912, 0.3482762
913, 0.3459266
914, 0.3420106
915, 0.340131
916, 0.3382513
917, 0.3373115
918, 0.3363716
919, 0.3348052
920, 0.3337088
921, 0.332299
922, 0.330576
923, 0.330106
924, 0.330576
925, 0.3299494
926, 0.3290096
927, 0.328383
928, 0.3275999
929, 0.3272866
930, 0.3272866
931, 0.32666
932, 0.32666
933, 0.3260334
934, 0.3258768
935, 0.3263467
936, 0.3257202
937, 0.3258768
938, 0.3255635
939, 0.324937
940, 0.3252503
941, 0.3257202
942, 0.3257202
943, 0.3258768
944, 0.3252503
945, 0.3252503
946, 0.324937
947, 0.3252503
948, 0.3247803
949, 0.3247803
950, 0.3246237
951, 0.324467
952, 0.3255635
953, 0.3255635
954, 0.3263467
955, 0.3272866
956, 0.3268166
957, 0.32666
958, 0.3265034
959, 0.3275999
960, 0.32666
961, 0.3265034
962, 0.3268166
963, 0.3269733
964, 0.3274432
965, 0.3272866
966, 0.3275999
967, 0.3268166
968, 0.3269733
969, 0.3272866
970, 0.3269733
971, 0.3274432
972, 0.3280698
973, 0.3279131
974, 0.328383
975, 0.3290096
976, 0.3293229
977, 0.3280698
978, 0.3285397
979, 0.328853
980, 0.328853
981, 0.3277565
982, 0.3280698
983, 0.3293229
984, 0.3316725
985, 0.3380947
986, 0.3409142
987, 0.3412275
988, 0.3427939
989, 0.3437337
990, 0.3445169
991, 0.3467098
992, 0.3467098
993, 0.3470231
994, 0.3468665
995, 0.3478063
996, 0.3471797
997, 0.347493
998, 0.3481196
999, 0.3476497
1000, 0.3467098
1001, 0.3463965
1002, 0.3468665
1003, 0.3463965
1004, 0.34577
1005, 0.34577
1006, 0.3453001
1007, 0.3451435
1008, 0.3453001
1009, 0.3451435
1010, 0.3454567
1011, 0.3456133
1012, 0.34577
1013, 0.34577
1014, 0.3451435
1015, 0.3451435
1016, 0.34577
1017, 0.3460833
1018, 0.34624
1019, 0.3454567
1020, 0.3453001
