Experiment:, Cathode characterisation
Start date:, pond?l? 20. b?ezna 2023
Start time:, 12:43:10 +01:00
Time (s), Current Density (A/cm2)
901, 0.03629807
902, 0.02434622
903, 0.0230931
904, 0.02199663
905, 0.02152671
906, 0.02183999
907, 0.02105679
908, 0.02121343
909, 0.02121343
910, 0.02152671
911, 0.02152671
912, 0.02168335
913, 0.02183999
914, 0.02043023
915, 0.02137007
916, 0.02090015
917, 0.02137007
918, 0.02074351
919, 0.0202736
920, 0.02043023
921, 0.02105679
922, 0.02137007
923, 0.02121343
924, 0.02090015
925, 0.02074351
926, 0.0202736
927, 0.02137007
928, 0.02215327
929, 0.02137007
930, 0.02137007
931, 0.02168335
932, 0.02215327
933, 0.02215327
934, 0.02152671
935, 0.02168335
936, 0.02199663
937, 0.02168335
938, 0.02168335
939, 0.02199663
940, 0.02183999
941, 0.02168335
942, 0.02105679
943, 0.02090015
944, 0.02105679
945, 0.02152671
946, 0.02074351
947, 0.02090015
948, 0.02090015
949, 0.02183999
950, 0.02183999
951, 0.02137007
952, 0.02199663
953, 0.02183999
954, 0.02215327
955, 0.02293646
956, 0.0223099
957, 0.02293646
958, 0.0223099
959, 0.02199663
960, 0.02215327
961, 0.02215327
962, 0.02199663
963, 0.02168335
964, 0.0223099
965, 0.02262319
966, 0.02277982
967, 0.02215327
968, 0.02262319
969, 0.02246655
970, 0.02262319
971, 0.02277982
972, 0.02356302
973, 0.02277982
974, 0.0230931
975, 0.02246655
976, 0.02340638
977, 0.02324974
978, 0.02371966
979, 0.0230931
980, 0.02293646
981, 0.02277982
982, 0.02262319
983, 0.02262319
984, 0.02356302
985, 0.02356302
986, 0.02246655
987, 0.02262319
988, 0.0223099
989, 0.02199663
990, 0.02168335
991, 0.02168335
992, 0.02262319
993, 0.02293646
994, 0.02215327
995, 0.02199663
996, 0.0223099
997, 0.02215327
998, 0.02277982
999, 0.02246655
1000, 0.02277982
1001, 0.02324974
1002, 0.0230931
1003, 0.02293646
1004, 0.02371966
1005, 0.02277982
1006, 0.02199663
1007, 0.02168335
1008, 0.02137007
1009, 0.02199663
1010, 0.02137007
1011, 0.02090015
1012, 0.02137007
1013, 0.02183999
1014, 0.02246655
1015, 0.02199663
1016, 0.02246655
1017, 0.02215327
1018, 0.02199663
1019, 0.02183999
1020, 0.02183999
