Experiment:, Cathode characterisation
Start date:, p?tek 23. ?ervna 2023
Start time:, 12:26:59 +02:00
"Time (s)", "Current Density (A/cm2)"
"901", "0,03786168"
"902", "0,1087748"
"903", "0,1065818"
"904", "0,1064252"
"905", "0,1064252"
"906", "0,1054853"
"907", "0,1050154"
"908", "0,1045455"
"909", "0,1047022"
"910", "0,1061119"
"911", "0,1047022"
"912", "0,1032924"
"913", "0,1028225"
"914", "0,1018827"
"915", "0,1015694"
"916", "0,1025092"
"917", "0,1021959"
"918", "0,1018827"
"919", "0,103449"
"920", "0,1029791"
"921", "0,1047022"
"922", "0,1040756"
"923", "0,103449"
"924", "0,103449"
"925", "0,103919"
"926", "0,1018827"
"927", "0,1009428"
"928", "0,09953307"
"929", "0,1026659"
"930", "0,1045455"
"931", "0,1032924"
"932", "0,1037623"
"933", "0,101726"
"934", "0,1001596"
"935", "0,09953307"
"936", "0,09937642"
"937", "0,1012561"
"938", "0,1032924"
"939", "0,1031358"
"940", "0,1028225"
"941", "0,1047022"
"942", "0,1047022"
"943", "0,1036057"
"944", "0,1036057"
"945", "0,1031358"
"946", "0,1040756"
"947", "0,1047022"
"948", "0,1043889"
"949", "0,1053287"
"950", "0,1048588"
"951", "0,1045455"
"952", "0,1061119"
"953", "0,1057986"
"954", "0,1062686"
"955", "0,1067385"
"956", "0,1065818"
"957", "0,1061119"
"958", "0,1061119"
"959", "0,1067385"
"960", "0,1067385"
"961", "0,1076783"
"962", "0,1068951"
"963", "0,1053287"
"964", "0,1051721"
"965", "0,1042322"
"966", "0,1031358"
"967", "0,1036057"
"968", "0,1025092"
"969", "0,1029791"
"970", "0,1021959"
"971", "0,1023526"
"972", "0,1025092"
"973", "0,1025092"
"974", "0,1031358"
"975", "0,1042322"
"976", "0,1040756"
"977", "0,103919"
"978", "0,1040756"
"979", "0,1036057"
"980", "0,1043889"
"981", "0,1048588"
"982", "0,1042322"
"983", "0,1042322"
"984", "0,1045455"
"985", "0,1048588"
"986", "0,1043889"
"987", "0,103449"
"988", "0,1037623"
"989", "0,1036057"
"990", "0,1032924"
"991", "0,1028225"
"992", "0,1026659"
"993", "0,1031358"
"994", "0,1037623"
"995", "0,103449"
"996", "0,1032924"
"997", "0,103449"
"998", "0,1026659"
"999", "0,1040756"
"1000", "0,1021959"
"1001", "0,1043889"
"1002", "0,1015694"
"1003", "0,1020393"
"1004", "0,1014127"
"1005", "0,1026659"
"1006", "0,1042322"
"1007", "0,1032924"
"1008", "0,1036057"
"1009", "0,1032924"
"1010", "0,1025092"
"1011", "0,1020393"
"1012", "0,1020393"
"1013", "0,1023526"
"1014", "0,1026659"
"1015", "0,1037623"
"1016", "0,1048588"
"1017", "0,1042322"
"1018", "0,1032924"
"1019", "0,1031358"
"1020", "0,1031358"
