Experiment:, Cathode characterisation
Start date:, p?tek 10. listopadu 2023
Start time:, 14:06:45 +01:00
"Time (s)", "Current Density (A/cm2)"
"301", "0,03942529"
"302", "0,09546044"
"303", "0,09702684"
"304", "0,09702684"
"305", "0,09561708"
"306", "0,09577372"
"307", "0,09420733"
"308", "0,09514717"
"309", "0,09405069"
"310", "0,09138783"
"311", "0,09091791"
"312", "0,08966479"
"313", "0,0873152"
"314", "0,09060463"
"315", "0,0932675"
"316", "0,0953038"
"317", "0,09781004"
"318", "0,09796667"
"319", "0,09577372"
"320", "0,09906314"
"321", "0,09937642"
"322", "0,09984634"
"323", "0,09890651"
"324", "0,09796667"
"325", "0,09577372"
"326", "0,09499053"
"327", "0,09405069"
"328", "0,09389405"
"329", "0,09436397"
"330", "0,09311084"
"331", "0,09452061"
"332", "0,09452061"
"333", "0,09546044"
"334", "0,0953038"
"335", "0,09467725"
"336", "0,0953038"
"337", "0,09420733"
"338", "0,09483389"
"339", "0,09170111"
"340", "0,09467725"
"341", "0,09514717"
"342", "0,09671356"
"343", "0,09734011"
"344", "0,09499053"
"345", "0,09467725"
"346", "0,09467725"
"347", "0,0953038"
"348", "0,09624365"
"349", "0,09671356"
"350", "0,09608699"
"351", "0,09593036"
"352", "0,09514717"
"353", "0,09452061"
"354", "0,09452061"
"355", "0,09546044"
"356", "0,09593036"
"357", "0,09593036"
"358", "0,09546044"
"359", "0,09452061"
"360", "0,09436397"
"361", "0,09514717"
"362", "0,09436397"
"363", "0,09514717"
"364", "0,09608699"
"365", "0,09890651"
"366", "0,1001596"
"367", "0,09843659"
"368", "0,09874986"
"369", "0,09968971"
"370", "0,1012561"
"371", "0,1020393"
"372", "0,1031358"
"373", "0,1028225"
"374", "0,1006295"
"375", "0,1023526"
"376", "0,101726"
"377", "0,101726"
"378", "0,1014127"
"379", "0,09921978"
"380", "0,09984634"
"381", "0,09812331"
"382", "0,09781004"
"383", "0,09843659"
"384", "0,09843659"
"385", "0,09874986"
"386", "0,09921978"
"387", "0,09843659"
"388", "0,09859323"
"389", "0,09796667"
"390", "0,09874986"
"391", "0,1001596"
"392", "0,100003"
"393", "0,1009428"
"394", "0,1001596"
"395", "0,0968702"
"396", "0,09968971"
"397", "0,1006295"
"398", "0,1031358"
"399", "0,103919"
"400", "0,1028225"
"401", "0,1012561"
"402", "0,09749676"
"403", "0,09812331"
"404", "0,09796667"
"405", "0,09953307"
"406", "0,1014127"
"407", "0,1025092"
"408", "0,1028225"
"409", "0,1025092"
"410", "0,1012561"
"411", "0,09968971"
"412", "0,09953307"
"413", "0,09906314"
"414", "0,09874986"
"415", "0,09937642"
"416", "0,09906314"
"417", "0,1004729"
"418", "0,09953307"
"419", "0,09827995"
"420", "0,09796667"
