Experiment:, Cathode characterisation
Start date:, st?eda 14. ?ervna 2023
Start time:, 11:34:38 +02:00
"Time (s)", "Current Density (A/cm2)"
"215", "0,07851557"
"216", "0,1350902"
"217", "0,1344636"
"218", "0,1349335"
"219", "0,1366566"
"220", "0,1368132"
"221", "0,138223"
"222", "0,1371265"
"223", "0,1368132"
"224", "0,1361867"
"225", "0,1361867"
"226", "0,1371265"
"227", "0,1355601"
"228", "0,1369698"
"229", "0,1369698"
"230", "0,1354035"
"231", "0,1355601"
"232", "0,1349335"
"233", "0,1363433"
"234", "0,1388495"
"235", "0,1383796"
"236", "0,1413558"
"237", "0,1402593"
"238", "0,1422956"
"239", "0,1410425"
"240", "0,1401026"
"241", "0,1390062"
"242", "0,1411991"
"243", "0,1404159"
"244", "0,1411991"
"245", "0,1432354"
"246", "0,1433921"
"247", "0,1443319"
"248", "0,1429221"
"249", "0,1437053"
"250", "0,1446452"
"251", "0,1457417"
"252", "0,1457417"
"253", "0,145585"
"254", "0,1484045"
"255", "0,1485611"
"256", "0,1516939"
"257", "0,1507541"
"258", "0,1513807"
"259", "0,1498143"
"260", "0,1499709"
"261", "0,1491877"
"262", "0,1507541"
"263", "0,1510674"
"264", "0,1507541"
"265", "0,1498143"
"266", "0,149501"
"267", "0,1502842"
"268", "0,1482479"
"269", "0,1471514"
"270", "0,149501"
"271", "0,1515373"
"272", "0,1526338"
"273", "0,1543568"
"274", "0,1554533"
"275", "0,1546701"
"276", "0,1543568"
"277", "0,1538869"
"278", "0,1546701"
"279", "0,1556099"
"280", "0,1562365"
"281", "0,1570197"
"282", "0,1549834"
"283", "0,1560798"
"284", "0,156863"
"285", "0,1573329"
"286", "0,1574896"
"287", "0,1571763"
"288", "0,159056"
"289", "0,1601525"
"290", "0,1606224"
"291", "0,1612489"
"292", "0,1618755"
"293", "0,1628153"
"294", "0,1621888"
"295", "0,1612489"
"296", "0,1593693"
"297", "0,156863"
"298", "0,1570197"
"299", "0,1565498"
"300", "0,1574896"
"301", "0,1574896"
"302", "0,1581161"
"303", "0,1578029"
"304", "0,1556099"
"305", "0,1562365"
"306", "0,1560798"
"307", "0,1576462"
"308", "0,1571763"
"309", "0,1574896"
"310", "0,1593693"
"311", "0,1587427"
"312", "0,159056"
"313", "0,1588994"
"314", "0,1565498"
"315", "0,1587427"
"316", "0,1595259"
"317", "0,1595259"
"318", "0,1579595"
"319", "0,1585861"
"320", "0,1596825"
"321", "0,160779"
"322", "0,1620321"
"323", "0,1621888"
"324", "0,1612489"
"325", "0,1618755"
"326", "0,1623454"
"327", "0,1615622"
"328", "0,1623454"
"329", "0,162502"
"330", "0,1598392"
"331", "0,1593693"
"332", "0,1595259"
"333", "0,1610923"
"334", "0,1620321"
