Experiment:, EIS
Start date:, st?eda 12. dubna 2023
Start time:, 13:31:36 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
433, 100000, 0.05283967, -0.08383003, 0.5997968
433, 79432.82, 0.01223317, 0.06360512, 0.5997968
434, 63095.73, 0.03250919, 0.1205629, 0.6026408
434, 50118.72, 0.3074961, 0.1719703, 0.6026408
434, 39810.71, 0.1753783, 0.1824984, 0.6026408
434, 31622.77, 0.1997045, 0.1521781, 0.6026408
435, 25118.86, 0.4662502, 0.1998356, 0.596163
435, 19952.62, 0.2131089, 0.1367073, 0.596163
435, 15848.93, 0.281, 0.205671, 0.596163
435, 12589.25, -0.1339165, -0.2264431, 0.596163
435, 9999.997, 0.3042516, -0.005547191, 0.596163
436, 7943.28, 0.2513909, 0.006187338, 0.5925291
436, 6309.571, 0.3370978, -0.06995734, 0.5925291
436, 5011.871, 0.3426599, -0.08653466, 0.5925291
437, 3981.07, 0.3532497, -0.06715003, 0.6163864
437, 3162.276, 0.3660285, -0.07200246, 0.6163864
438, 2511.885, 0.3758268, -0.07987816, 0.5972689
438, 1995.261, 0.3871601, -0.08996736, 0.5972689
438, 1584.892, 0.3992428, -0.1003885, 0.5972689
438, 1258.925, 0.4148382, -0.1118969, 0.5972689
438, 999.9994, 0.4295818, -0.1192622, 0.5972689
439, 794.3277, 0.45138, -0.1433399, 0.6216003
439, 630.9569, 0.471125, -0.1476762, 0.6216003
439, 501.1869, 0.4975333, -0.1549749, 0.6216003
439, 398.1069, 0.5261912, -0.1699439, 0.6216003
439, 316.2275, 0.5565181, -0.1767229, 0.6216003
439, 251.1884, 0.5835376, -0.1898362, 0.6216003
440, 199.5261, 0.6190495, -0.2030389, 0.06928099
440, 158.4892, 0.6464729, -0.2223697, 0.06928099
440, 125.8924, 0.6486766, -0.2415556, 0.06928099
440, 99.99991, 0.5447857, 0.1814636, 0.06928099
440, 79.43275, 0.4467784, 0.2382896, 0.06928099
441, 63.09567, 0.3804906, 0.2193986, 0.1482856
441, 50.11867, 0.3135523, 0.1907878, 0.1482856
441, 39.81068, 0.287679, 0.156204, 0.1482856
441, 31.62274, 0.2677692, 0.1189745, 0.1482856
441, 25.11884, 0.2580364, 0.08648849, 0.1482856
441, 19.9526, 0.2499315, 0.06382766, 0.1482856
441, 15.84891, 0.2364059, 0.05123661, 0.1482856
442, 12.58924, 0.2308707, 0.03371953, 0.1076547
442, 9.999988, 0.2273055, 0.01562919, 0.1076547
442, 7.943272, 0.2354446, -0.004661272, 0.1076547
442, 6.309565, 0.2425016, -0.03288358, 0.1076547
443, 5.011866, 0.2522825, -0.0616629, 0.1225401
443, 3.981066, 1.650598, 0.7063036, 0.1225401
444, 3.162273, 1.428898, 0.5764681, 0.1276387
445, 2.511883, 0.3042091, -0.1206906, 0.1773461
446, 1.995259, 1.321627, 0.3544559, 0.1375044
447, 1.584891, 1.273214, 0.1895593, 0.09411101
447, 1.258924, 1.240702, 0.079143, 0.09411101
449, 0.999998, 1.202063, -0.02580027, 0.1149474
450, 0.794327, 1.14989, -0.110812, 0.1421136
452, 0.630956, 1.083262, -0.1284548, 0.1254603
454, 0.501186, 1.073488, -0.1566502, 0.1542682
456, 0.398106, 1.011691, -0.1382237, 0.1157367
459, 0.316227, 0.9638758, -0.1369656, 0.1210247
463, 0.251188, 0.8948541, -0.12437, 0.1445603
468, 0.199526, 0.8366238, -0.1213369, 0.1304168
475, 0.158489, 0.7775517, -0.1141798, 0.1537315
483, 0.125892, 0.7554424, -0.09822518, 0.1538104
493, 0.1, 0.8466988, -0.03988124, 0.1519794
