Experiment:, Cathode characterisation
Start date:, ?ter? 26. z??? 2023
Start time:, 12:23:09 +02:00
Time (s), Current Density (A/cm2)
97, 18.31519
98, 14.92657
99, 15.51448
100, 12.01356
101, 11.76807
102, 10.41086
103, 10.64227
104, 10.63914
105, 10.65478
106, 11.87753
107, 10.42337
108, 10.24043
109, 9.618107
110, 10.09344
111, 10.84867
112, 10.07937
113, 9.91832
114, 9.846394
115, 9.722869
116, 9.749451
117, 9.713488
118, 9.65876
119, 9.24284
120, 9.988683
121, 9.977737
122, 10.09501
123, 9.824503
124, 9.841702
125, 9.363237
126, 9.002044
127, 10.85023
128, 9.26473
129, 8.892591
130, 9.361674
131, 9.597779
132, 9.352293
133, 9.514908
134, 9.13026
135, 9.172478
136, 9.19124
137, 9.241276
138, 9.22095
139, 9.350729
140, 9.743196
141, 8.536088
142, 9.138079
143, 9.583708
144, 9.066153
145, 9.125569
146, 8.526706
147, 8.912918
148, 9.072406
149, 9.156841
150, 9.414837
151, 9.833885
152, 9.066153
153, 9.313203
154, 9.388256
155, 9.802612
156, 8.875391
157, 8.385982
