Experiment:, EIS
Start date:, p?tek 27. ??jna 2023
Start time:, 12:23:05 +02:00
Time (s), Voltage (V)
279, 0.5988489
280, 0.6001129
281, 0.6001129
282, 0.6001129
283, 0.6002708
284, 0.6002708
285, 0.6002708
286, 0.6002708
287, 0.6002708
288, 0.6002708
289, 0.6002708
290, 0.6002708
291, 0.6001129
292, 0.6002708
293, 0.6001129
294, 0.6002708
295, 0.6002708
296, 0.6002708
297, 0.6001129
298, 0.6001129
299, 0.6001129
300, 0.6001129
301, 0.6001129
302, 0.6001129
303, 0.6001129
304, 0.6001129
305, 0.6001129
306, 0.6002708
307, 0.6002708
308, 0.6002708
309, 0.6002708
310, 0.6001129
311, 0.6001129
312, 0.6001129
313, 0.6001129
314, 0.6001129
315, 0.6002708
316, 0.6002708
317, 0.6002708
318, 0.6001129
319, 0.6002708
320, 0.6002708
321, 0.6002708
322, 0.6002708
323, 0.6002708
324, 0.6002708
325, 0.6002708
326, 0.6002708
327, 0.6002708
328, 0.6001129
329, 0.6002708
330, 0.6002708
331, 0.6002708
332, 0.6002708
333, 0.6002708
334, 0.6002708
335, 0.6002708
336, 0.6002708
337, 0.6001129
338, 0.6001129
339, 0.6002708
339, 0.6002708
340, 0.6001129
340, 0.6001129
340, 0.6001129
340, 0.6001129
341, 0.6002708
341, 0.6002708
341, 0.6002708
341, 0.6002708
342, 0.6002708
342, 0.6002708
342, 0.6002708
342, 0.6002708
343, 0.5994809
343, 0.5994809
343, 0.5994809
343, 0.5994809
344, 0.6264981
344, 0.6264981
344, 0.6264981
344, 0.6264981
345, 0.6029568
345, 0.6029568
345, 0.6029568
345, 0.6029568
345, 0.6029568
345, 0.6029568
346, 0.6001129
346, 0.6001129
346, 0.6001129
346, 0.6001129
346, 0.6001129
346, 0.6001129
347, 0.6018508
347, 0.6018508
347, 0.6018508
347, 0.6018508
347, 0.6018508
348, 0.6020088
348, 0.6020088
348, 0.6020088
348, 0.6020088
348, 0.6020088
349, 0.6004288
349, 0.6004288
349, 0.6004288
350, 0.6012188
351, 0.5948989
351, 0.5948989
352, 0.6001129
353, 0.6154384
354, 0.594267
355, 0.5817853
356, 0.6392958
357, 0.5607719
358, 0.6396118
359, 0.5896851
360, 0.5756235
361, 0.6595193
362, 0.5724636
363, 0.5629839
364, 0.6557273
365, 0.630448
366, 0.5441824
367, 0.5708836
368, 0.6522515
369, 0.6549373
370, 0.5824173
371, 0.5342286
372, 0.5768875
373, 0.6467216
374, 0.666629
375, 0.6260241
376, 0.5617199
377, 0.5326487
378, 0.5651958
379, 0.6272881
380, 0.6645751
381, 0.6626792
382, 0.6238123
383, 0.5708836
384, 0.5354926
385, 0.5383365
386, 0.5781514
387, 0.6290261
388, 0.6609412
389, 0.668999
390, 0.6508294
391, 0.6133845
392, 0.5708836
393, 0.5394425
394, 0.5312268
395, 0.5493962
396, 0.5869992
397, 0.6065907
