Experiment:, EIS
Start date:, st?eda 12. dubna 2023
Start time:, 13:31:36 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
310, 100000, 0.119102, -0.04715742, 0.6979122
310, 79432.82, 0.03520702, 0.04396699, 0.6979122
310, 63095.73, 0.08046521, 0.1448513, 0.6979122
311, 50118.72, 0.156987, 0.158758, 0.7005981
311, 39810.71, 0.1188288, 0.1882731, 0.7005981
311, 31622.77, 0.1948439, 0.146441, 0.7005981
311, 25118.86, 0.2125385, 0.1463974, 0.7005981
312, 19952.62, 0.2233337, 0.1039557, 0.6988602
312, 15848.93, 0.2363119, 0.1038527, 0.6988602
312, 12589.25, 0.3824892, 0.09132681, 0.6988602
312, 9999.997, 0.3013686, 0.006925419, 0.6988602
313, 7943.28, 0.1483589, 0.02214438, 0.6870105
313, 6309.571, 0.2985779, -0.05333731, 0.6870105
313, 5011.871, 0.4418233, -0.09018376, 0.6870105
314, 3981.07, 0.3488337, -0.0676304, 0.6928563
314, 3162.276, 0.3425796, -0.07278612, 0.6928563
315, 2511.885, 0.3451993, -0.05249675, 0.705338
315, 1995.261, 0.3636521, -0.08934346, 0.705338
315, 1584.892, 0.3785979, -0.09812661, 0.705338
316, 1258.925, 0.3419016, -0.0351338, 0.6900124
316, 999.9994, 0.4123152, -0.1190261, 0.6900124
316, 794.3277, 0.4324881, -0.1235463, 0.6900124
316, 630.9569, 0.4594218, -0.1279804, 0.6900124
317, 501.1869, 0.487581, -0.1436378, 0.6990182
317, 398.1069, 0.5148866, -0.143256, 0.6990182
317, 316.2275, 0.544588, -0.1363276, 0.6990182
318, 251.1884, 0.5912882, -0.133267, 0.6072227
318, 199.5261, 0.632342, -0.1018762, 0.6072227
318, 158.4892, 0.6685164, -0.08580127, 0.6072227
318, 125.8924, 0.6844958, -0.03109314, 0.6072227
318, 99.99991, 0.6867886, 0.0305805, 0.6072227
319, 79.43275, 0.6924023, 0.09092678, 0.7445209
319, 63.09567, 0.5587423, 0.1632799, 0.7445209
319, 50.11867, 0.45947, 0.191369, 0.7445209
319, 39.81068, 0.3756627, 0.202941, 0.7445209
320, 31.62274, 0.2497205, 0.2000172, 0.7007561
320, 25.11884, 0.1944533, 0.2306542, 0.7007561
320, 19.9526, 0.2015289, 0.1678307, 0.7007561
320, 15.84891, 0.2150163, 0.1209612, 0.7007561
320, 12.58924, 0.225926, 0.08242124, 0.7007561
321, 9.999988, 0.2315041, 0.05190819, 1.377136
321, 7.943272, 0.2440337, 0.01632874, 1.377136
321, 6.309565, 0.2460675, -0.01479173, 1.377136
321, 5.011866, 0.263918, -0.0586886, 1.377136
322, 3.981066, 0.679951, 0.09052167, 0.7231915
322, 3.162273, 0.6427844, -0.02616005, 0.7231915
323, 2.511883, 0.3234171, -0.1117896, 0.6549373
325, 1.995259, 0.6077855, -0.1257841, 0.7081819
325, 1.584891, 0.5786464, -0.1316227, 0.7081819
326, 1.258924, 0.5818367, -0.127709, 0.6990182
327, 0.999998, 0.6193436, -0.1130449, 0.6941203
329, 0.794327, 0.6368991, -0.1029857, 0.7288793
330, 0.630956, 0.6514109, -0.1039648, 0.6781627
332, 0.501186, 0.6713877, -0.09547201, 0.6721589
335, 0.398106, 0.6881108, -0.0883483, 0.7318813
338, 0.316227, 0.7005665, -0.081705, 0.7203476
342, 0.251188, 0.7191383, -0.0791589, 0.7198736
347, 0.199526, 0.7240443, -0.07110045, 0.7244554
353, 0.158489, 0.7372652, -0.06741425, 0.7023361
361, 0.125892, 0.7352677, -0.04352129, 0.7167137
372, 0.1, 0.7895196, -0.09168901, 0.7010721
