Experiment:, Cathode characterisation
Start date:, ?tvrtek 20. dubna 2023
Start time:, 15:14:45 +02:00
Time (s), Current Density (A/cm2)
901, 0.02066196
902, 0.02378918
903, 0.03029851
904, 0.03014187
905, 0.02920203
906, 0.02857548
907, 0.02794892
908, 0.02763564
909, 0.02763564
910, 0.02716572
911, 0.02685244
912, 0.02700908
913, 0.0266958
914, 0.027479
915, 0.02779228
916, 0.02810556
917, 0.027479
918, 0.02685244
919, 0.02497277
920, 0.0266958
921, 0.02732236
922, 0.02559933
923, 0.02685244
924, 0.02544269
925, 0.02528605
926, 0.02591261
927, 0.02465949
928, 0.02497277
929, 0.02512941
930, 0.02450286
931, 0.02528605
932, 0.02559933
933, 0.02559933
934, 0.02544269
935, 0.02450286
936, 0.02356302
937, 0.02591261
938, 0.02544269
939, 0.02653916
940, 0.02685244
941, 0.02763564
942, 0.02685244
943, 0.02732236
944, 0.02732236
945, 0.02685244
946, 0.02544269
947, 0.02481613
948, 0.02403294
949, 0.02371966
950, 0.02544269
951, 0.02606925
952, 0.02575597
953, 0.02591261
954, 0.02591261
955, 0.0266958
956, 0.02638253
957, 0.02606925
958, 0.02622589
959, 0.0266958
960, 0.02716572
961, 0.02685244
962, 0.02685244
963, 0.02575597
964, 0.02512941
965, 0.02559933
966, 0.02512941
967, 0.02403294
968, 0.02277982
969, 0.0223099
970, 0.02324974
971, 0.02324974
972, 0.02434622
973, 0.02559933
974, 0.02575597
975, 0.02638253
976, 0.02622589
977, 0.02622589
978, 0.02559933
979, 0.02622589
980, 0.02606925
981, 0.02653916
982, 0.02763564
983, 0.02700908
984, 0.0290454
985, 0.02920203
986, 0.0282622
987, 0.0290454
988, 0.0282622
989, 0.02810556
990, 0.02763564
991, 0.0282622
992, 0.02873212
993, 0.02794892
994, 0.02810556
995, 0.02888875
996, 0.02732236
997, 0.02951531
998, 0.02794892
999, 0.02873212
1000, 0.03029851
1001, 0.03029851
1002, 0.02920203
1003, 0.02732236
1004, 0.02497277
1005, 0.02434622
1006, 0.02215327
1007, 0.0238763
1008, 0.0230931
1009, 0.02481613
1010, 0.02512941
1011, 0.02465949
1012, 0.0238763
1013, 0.02418958
1014, 0.02371966
1015, 0.02434622
1016, 0.02465949
1017, 0.02481613
1018, 0.02512941
1019, 0.02544269
1020, 0.02528605
