Experiment:, EIS
Start date:, st?eda 4. ??jna 2023
Start time:, 17:44:38 +02:00
Time (s), Voltage (V)
281, 0.5990069
282, 0.6002708
283, 0.6004288
284, 0.6004288
285, 0.6004288
286, 0.6002708
287, 0.6002708
288, 0.6002708
289, 0.6002708
290, 0.6002708
291, 0.6002708
292, 0.6002708
293, 0.6002708
294, 0.6002708
295, 0.6002708
296, 0.6002708
297, 0.6002708
298, 0.6002708
299, 0.6002708
300, 0.6004288
301, 0.6004288
302, 0.6004288
303, 0.6004288
304, 0.6002708
305, 0.6002708
306, 0.6002708
307, 0.6002708
308, 0.6002708
309, 0.6004288
310, 0.6002708
311, 0.6002708
312, 0.6002708
313, 0.6002708
314, 0.6004288
315, 0.6004288
316, 0.6004288
317, 0.6004288
318, 0.6004288
319, 0.6002708
320, 0.6004288
321, 0.6004288
322, 0.6004288
323, 0.6004288
324, 0.6004288
325, 0.6004288
326, 0.6004288
327, 0.6004288
328, 0.6002708
329, 0.6004288
330, 0.6004288
331, 0.6004288
332, 0.6004288
333, 0.6004288
334, 0.6004288
335, 0.6004288
336, 0.6004288
337, 0.6004288
338, 0.6004288
339, 0.6004288
340, 0.6004288
341, 0.6004288
342, 0.6004288
342, 0.6004288
342, 0.6004288
342, 0.6004288
342, 0.6004288
343, 0.6004288
343, 0.6004288
343, 0.6004288
343, 0.6004288
344, 0.6005868
344, 0.6005868
344, 0.6005868
345, 0.6004288
345, 0.6004288
345, 0.6004288
346, 0.5865252
346, 0.5865252
347, 0.6010609
347, 0.6010609
348, 0.6413497
348, 0.6413497
348, 0.6413497
348, 0.6413497
348, 0.6413497
349, 0.6001129
349, 0.6001129
349, 0.6001129
349, 0.6001129
349, 0.6001129
349, 0.6001129
350, 0.6001129
350, 0.6001129
350, 0.6001129
350, 0.6001129
350, 0.6001129
350, 0.6001129
351, 0.5990069
351, 0.5990069
351, 0.5990069
351, 0.5990069
351, 0.5990069
352, 0.6037468
352, 0.6037468
352, 0.6037468
352, 0.6037468
353, 0.6021668
353, 0.6021668
354, 0.5882632
355, 0.6089606
356, 0.596163
357, 0.5925291
358, 0.632502
359, 0.5794154
360, 0.6216003
361, 0.5767295
362, 0.6464056
363, 0.5470263
364, 0.6359779
365, 0.62871
366, 0.5410224
367, 0.6165444
368, 0.6607832
369, 0.5811534
370, 0.5400745
371, 0.6178084
372, 0.6664711
373, 0.6220742
374, 0.5479743
375, 0.5460783
376, 0.6171764
377, 0.6652071
378, 0.6520935
379, 0.5918971
380, 0.5394425
381, 0.5427604
382, 0.5986909
383, 0.6513034
384, 0.668841
385, 0.6457736
386, 0.595689
387, 0.5484483
388, 0.5318587
389, 0.556032
390, 0.6064327
391, 0.6489335
392, 0.668841
393, 0.6625211
394, 0.632502
395, 0.5901591
396, 0.5517662
397, 0.5318587
398, 0.5381785
399, 0.5681977
400, 0.6072227
