TESTED,ALL DATA AVAILABLE,Sample Nr. (=INDEX Nr.),Original SAMPLE Nr.,RAW LOAD,RAW IMP,RAW CV,opt,LOAD,IMP,CV,Ink,Catalyst,Ionomer,Solvent,I:C ratio,Membrane,Pt loading - anode/cathode - mg/cm2,Comment,Filename,A loading,K loading,total load,Loading color scale,max power density (W/cm2),OCV,U at 1A/cm2,ohmic resistance (?),polarization resistance (?),mass specific surface (m2/g),,,,,,,,,,,,
1,3,,87,1,1,1,,1,1,1,TUBAF-PtC_KHE_05-09,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,Nafion 212,0.149,same cat as 04_01,Batch 21,0.055,0.094,0.149,0.149,1.095,0.996,0.655,0.002,0.0082,13.98175476,1,95,0,996,0,655,0,20,0,82,13,98175476
0,0,,88,,,,,,,,,,,,,,,,Batch 22,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
0,0,,89,,,,,,,,,,,,,,,,Batch 22,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
0,0,,90,,,,,,,,,,,,,,,,Batch 22,,,0, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,,91,1,1,1,,1,1,1,Imm-PtC_KHE_32_KHE_34,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,Nafion 212,0.161,,Batch 23,0.081,0.081,0.161,0.161,0.923,0.907,0.677,0.0036,0.0109,,0,923,0,907,0,677,0,36,0,109,,
1,3,,92,1,1,1,,1,1,1,Imm-PtC_KHE_32_KHE_34,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,FS-960-RF,0.166,,Batch 23,0.083,0.083,0.166,0.166,0.754,0.961,0.591,0.0031,0.0099,18.23,0,754,0,961,0,591,0,31,0,99,18,23
0,0,,93,,,,,,,,Imm-PtC_KHE_32_KHE_34,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,FS-960-RF,0.169,,Batch 23,0.085,0.085,0.169,0.169,[],[],[],[],[],,[],[],[],[],[],,,,,,,
1,3,,94,1,1,1,,1,1,1,Imm-PtC_KHE_32_KHE_34,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,Nafion HP,0.194,,Batch 23,0.097,0.097,0.194,0.194,0.747,0.945,0.566,0.0013,0.0075,21.89,0,747,0,945,0,566,0,13,0,75,21,89
1,3,,95,1,1,1,,1,1,1,Imm-PtC_KHE_32_KHE_34,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,Nafion HP,0.178,,Batch 23,0.089,0.089,0.178,0.178,0.815,0.883,0.62,0.0021,0.0078,20.37,0,815,0,883,0,620,0,21,0,78,20,37
1,3,,Cmid_01,1,1,1,,1,1,1,Imm-PtC_KHE_31_KHE_33 = reference ink,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.21,,Batch 24,0.07,0.14,0.21,0.21,,,,,,,,,,,,,,,,,,
0,0,,Cmid_02,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.21,,,0.07,0.14,0.21,0.21,,,,,,,,,,,,,,,,,,
0,0,,Cmid_03,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.21,,,0.07,0.14,0.21,0.21,,,,,,,,,,,,,,,,,,
1,3,,Nmid_01,1,1,1,,1,1,1,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.22,,,0.09,0.13,0.22,0.22,,,,,,,,,,,,,,,,,,
0,0,,Nmid_02,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.22,,,0.09,0.13,0.22,0.22,,,,,,,,,,,,,,,,,,
0,0,,Nmid_03,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.22,,,0.09,0.13,0.22,0.22,,,,,,,,,,,,,,,,,,
0,0,,Nmax_01,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.26,,,0.08,0.18,0.26,0.26,,,,,,,,,,,,,,,,,,
0,0,,Nmax_02,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.26,,,0.08,0.18,0.26,0.26,,,,,,,,,,,,,,,,,,
0,0,,Nmax_03,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.26,,,0.08,0.18,0.26,0.26,,,,,,,,,,,,,,,,,,
0,0,,Nmin_01,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.18,,,0.08,0.1,0.18,0.18,,,,,,,,,,,,,,,,,,
0,0,,Nmin_02,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.18,,,0.08,0.1,0.18,0.18,,,,,,,,,,,,,,,,,,
0,0,,Nmin_03,,,,,,,,Imm-PtC_KHE_31_KHE_33,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.18,,,0.08,0.1,0.18,0.18,,,,,,,,,,,,,,,,,,
0,0,,96,,,,,,,,Imm-PtC_KHE36,Tanaka 29.1 %,Nafion D-521 + EHU CX ionomers,H2O:EtOH,0.6,FS-960-RF,0.223,,Batch 25 ,0.099,0.124,0.223,0.223,,,,,,,,,,,,,,,,,,
0,0,,97,,,,,,,,Imm-PtC_KHE36,Tanaka 29.1 %,Nafion D-521 + EHU CX ionomers,H2O:EtOH,0.6,Nafion 212,0.173,,,0.066,0.107,0.173,0.173,,,,,,,,,,,,,,,,,,
0,0,,98,,,,,,,,Imm-PtC_KHE_37,Tanaka 29.1 %,Biopolymer EHU,H2O:EtOH,0.6,Nafion 212,0.2,,Batch 26,0.1,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,
0,0,,99,,,,,,,,Imm-PtC_KHE_37,Tanaka 29.1 %,Biopolymer EHU,H2O:EtOH,0.6,Nafion 212,0.202,,,0.101,0.101,0.202,0.202,,,,,,,,,,,,,,,,,,
0,0,,100,,,,,,,,Imm-PtC_KHE_38,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.21,,Batch 27,0.094,0.116,0.21,0.21,,,,,,,,,,,,,,,,,,
0,0,,101,,,,,,,,Imm-PtC_KHE_38,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.213,,,0.113,0.1,0.213,0.213,,,,,,,,,,,,,,,,,,
0,0,,102,,,,,,,,Imm-PtC_KHE_38,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.39,,,0.183,0.207,0.39,0.39,,,,,,,,,,,,,,,,,,
0,0,,103,,,,,,,,Imm-PtC_KHE_38,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.396,,,0.193,0.203,0.396,0.396,,,,,,,,,,,,,,,,,,
0,0,,104,,,,,,,,Imm-PtC_KHE_38,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.617,,,0.273,0.344,0.617,0.617,,,,,,,,,,,,,,,,,,
0,0,,105,,,,,,,,Imm-PtC_KHE_06_11 as in 05_09,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,Nafion 212,0.19,,Batch 28,0.95,0.95,1.9,1.9,,,,,,,,,,,,,,,,,,
0,0,,106,,,,,,,,Imm-PtC_KHE_05_09,TUBAF K2PtCl6,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,Nafion 212,0.197,,,0.985,0.985,1.97,1.97,,,,,,,,,,,,,,,,,,
0,0,,107,,,,,,,,TUBAF-PtC_KHE_06_12,TUBAF K2PtCl6 (NLPtC_12),Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion HP,0.219,,Batch 29,0.11,0.109,0.219,0.219,,,,,,,,,,,,,,,,,,
0,0,,108,,,,,,,,TUBAF-PtC_KHE_06_12,TUBAF K2PtCl6 (NLPtC_12),Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion HP,0.224,,,0.114,0.11,0.224,0.224,,,,,,,,,,,,,,,,,,
0,0,,109,,,,,,,,,Anode: TUBAF K2PtCl6 NLPtC_13 - synthesis in EG,Nafion D-512 (5wt.%),H2O:EtOH,0.6,Nafion 212,0.189,,Batch 30,0.089,0.1,0.189,0.189,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,Cathode: TUBAF K2PtCl6 NLPtC_12 - synthesis in EG:H2O,Nafion D-512 (5wt.%),H2O:EtOH:EG,0.6,,,,,,,0, ,,,,,,,,,,,,,,,,,,
