Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 15:28:40 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
612.0,79432.82,0.05113348,-0.003009933,0.5015236
612.0,63095.73,0.00465042,-0.0006661034,0.5015236
613.0,50118.72,-0.008379056,-0.001703855,0.4980476
613.0,39810.71,-0.0006802938,0.000110069,0.4980476
613.0,31622.77,-0.01151286,0.01256287,0.4980476
613.0,25118.86,0.01154759,-0.001929644,0.4980476
614.0,19952.62,-0.004110038,-0.001560876,0.4977316
614.0,15848.93,0.006235411,-0.001441331,0.4977316
614.0,12589.25,0.003000065,0.01626705,0.4977316
614.0,9999.997,0.009067297,0.007381101,0.4977316
615.0,7943.28,0.004828484,0.002254806,0.4996276
615.0,6309.571,0.003466238,0.002095264,0.4996276
615.0,5011.871,0.001295333,-0.004553778,0.4996276
615.0,3981.07,0.007258445,-0.03493747,0.4996276
616.0,3162.276,0.007566819,-0.004705692,0.5016815
616.0,2511.885,0.008191351,-0.004187838,0.5016815
616.0,1995.261,0.01034727,-0.006416173,0.5016815
617.0,1584.892,0.009950307,-0.006376478,0.6148065
617.0,1258.925,0.01090047,-0.007793099,0.6148065
618.0,999.9994,0.01192851,-0.008374254,0.4933078
618.0,794.3277,0.01478441,-0.01050398,0.4933078
618.0,630.9569,0.01537707,-0.01210874,0.4933078
618.0,501.1869,0.01362639,-0.01229711,0.4933078
620.0,398.1069,0.01683837,-0.01732058,0.4961517
620.0,316.2275,0.02110273,-0.01892976,0.4961517
620.0,251.1884,0.02208148,-0.02224412,0.4961517
620.0,199.5261,0.02505029,-0.02512267,0.4961517
620.0,158.4892,0.02575235,-0.02797441,0.4961517
620.0,125.8924,0.02763995,-0.02766404,0.4961517
620.0,99.99991,0.03154875,-0.03229748,0.4961517
620.0,79.43275,0.03156442,-0.03672666,0.4961517
620.0,63.09567,0.04992809,-0.04780292,0.4961517
620.0,50.11867,0.05925232,-0.04963459,0.4961517
621.0,39.81068,0.05187489,-0.05402164,0.5279088
621.0,31.62274,0.06199797,-0.05345902,0.5279088
621.0,25.11884,0.1059131,-0.06086027,0.5279088
621.0,19.9526,0.08214822,-0.06292458,0.5279088
621.0,15.84891,0.08757684,-0.08540365,0.5279088
622.0,5.011866,0.1822279,-0.003174898,0.4972576
623.0,3.162273,0.1671309,0.01592126,0.4980476
623.0,2.511883,0.1632275,-0.03823127,0.4980476
624.0,1.995259,0.1940746,-0.02963699,0.5173231
625.0,1.584891,0.182865,-0.02708347,0.4713463
626.0,1.258924,0.1843519,-0.02035359,0.521273
627.0,0.999998,0.1837112,-0.01857771,0.5067374
629.0,0.794327,0.1872678,-0.01607247,0.4645525
634.0,0.630956,0.1928017,-0.01127924,0.5168491
638.0,0.501186,0.1967193,-0.0124949,0.5430764
641.0,0.398106,0.1950378,-0.006326885,0.5512922
644.0,0.316227,0.1946,-0.008117649,0.557928
648.0,0.251188,0.1958693,-0.004069064,0.5617199
653.0,0.199526,0.1945681,-0.005585008,0.5607719
660.0,0.158489,0.1967161,-0.00819566,0.5304368
667.0,0.125892,0.1925693,-0.01106093,0.5636159
678.0,0.1,0.2023709,-0.05798929,0.4587067
