Experiment:, Cathode characterisation
Start date:, ?tvrtek 1. z??? 2022
Start time:, 12:07:24 +02:00
Time (s), Current Density (A/cm2)
722, 0.1160422
723, 0.0534978
724, 0.05037057
725, 0.05037057
726, 0.06444587
727, 0.06491579
728, 0.06601226
729, 0.06585562
730, 0.0653857
731, 0.06648218
732, 0.06052989
733, 0.06648218
734, 0.06554235
735, 0.06773529
736, 0.06898841
737, 0.06898841
738, 0.06757865
739, 0.06648218
740, 0.06522907
741, 0.06428923
742, 0.06475915
743, 0.06444587
744, 0.06475915
745, 0.0653857
746, 0.06554235
747, 0.0653857
748, 0.06632554
749, 0.0661689
750, 0.06663882
751, 0.06710874
752, 0.06757865
753, 0.06695209
754, 0.06851849
755, 0.06804857
756, 0.06695209
757, 0.06648218
758, 0.06695209
759, 0.06789193
760, 0.06679546
761, 0.06554235
762, 0.06601226
763, 0.06663882
764, 0.06695209
765, 0.0661689
766, 0.06679546
767, 0.06648218
768, 0.0661689
769, 0.06663882
770, 0.06710874
771, 0.06695209
772, 0.06773529
773, 0.06773529
774, 0.06710874
775, 0.0661689
776, 0.06632554
777, 0.06601226
778, 0.0661689
779, 0.06585562
780, 0.0661689
781, 0.0661689
782, 0.0653857
783, 0.06554235
784, 0.06569898
785, 0.06491579
786, 0.06585562
787, 0.06585562
788, 0.06601226
789, 0.06632554
790, 0.06773529
791, 0.06742202
792, 0.06663882
793, 0.06601226
794, 0.06632554
795, 0.06554235
796, 0.06475915
797, 0.06444587
798, 0.06413259
799, 0.06554235
800, 0.05802366
801, 0.06209628
802, 0.06381931
803, 0.06632554
804, 0.06773529
805, 0.06961497
806, 0.06898841
807, 0.06507242
808, 0.06381931
809, 0.06303611
810, 0.06209628
811, 0.061783
812, 0.06225292
813, 0.06366267
814, 0.06428923
815, 0.0653857
816, 0.06585562
817, 0.06663882
818, 0.06569898
819, 0.0653857
820, 0.06601226
821, 0.06585562
822, 0.06491579
823, 0.06460251
824, 0.06381931
825, 0.06444587
826, 0.06444587
827, 0.06491579
828, 0.06632554
829, 0.06522907
830, 0.06554235
831, 0.06569898
832, 0.06491579
833, 0.06413259
834, 0.06491579
835, 0.06663882
836, 0.06601226
837, 0.06507242
838, 0.06460251
839, 0.06475915
840, 0.06460251
841, 0.06522907
