Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 15:28:40 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm), Voltage (V)
232.0,79432.82,0.01660912,-0.001555951,0.7998194
233.0,63095.73,0.004768407,-0.0009980721,0.7985555
233.0,50118.72,0.006778123,-0.000465495,0.7985555
233.0,39810.71,0.01458466,-0.0004949705,0.7985555
233.0,31622.77,0.004481512,0.002494398,0.7985555
234.0,25118.86,0.0009957276,-0.0004979052,0.7987134
234.0,19952.62,0.000732787,-0.001143492,0.7987134
234.0,15848.93,-1.973261e-06,0.004369198,0.7987134
234.0,12589.25,0.01564193,0.002132715,0.7987134
235.0,9999.997,0.008878748,-0.001171294,0.7993454
235.0,7943.28,0.002860599,-0.006694751,0.7993454
235.0,6309.571,0.003055634,0.000293538,0.7993454
235.0,5011.871,0.005780486,0.0002124733,0.7993454
236.0,3981.07,0.002978674,-0.009609423,0.7991874
236.0,3162.276,0.006095594,-0.005817129,0.7991874
236.0,2511.885,0.003599511,-0.006730169,0.7991874
236.0,1995.261,0.007037066,-0.005716949,0.7991874
237.0,1584.892,0.008629286,-0.006431768,0.7764361
237.0,1258.925,0.008428274,-0.007101541,0.7764361
237.0,999.9994,0.009547975,-0.007766231,0.7764361
237.0,794.3277,0.01039519,-0.008093322,0.7764361
238.0,630.9569,0.0121605,-0.009997694,0.7816499
238.0,501.1869,0.01290833,-0.011897,0.7816499
238.0,398.1069,0.01406123,-0.01373258,0.7816499
238.0,316.2275,0.01547513,-0.01634497,0.7816499
238.0,251.1884,0.01856416,-0.01974495,0.7816499
238.0,199.5261,0.01780912,-0.0212035,0.7816499
239.0,158.4892,0.02124887,-0.02644645,0.7988715
239.0,125.8924,0.02245063,-0.02788801,0.7988715
239.0,99.99991,0.01693805,-0.03010404,0.7988715
239.0,79.43275,0.02257123,-0.03017481,0.7988715
239.0,63.09567,0.04508209,-0.04304886,0.7988715
240.0,50.11867,0.02556846,-0.04298444,0.7952375
240.0,39.81068,0.03109024,-0.05101194,0.7952375
240.0,31.62274,0.02594784,-0.05516887,0.7952375
240.0,25.11884,0.04251276,-0.07220178,0.7952375
240.0,19.9526,0.05235479,-0.09698601,0.7952375
240.0,15.84891,0.1062398,-0.0981371,0.7952375
241.0,12.58924,0.06576984,-0.1321666,0.8007674
241.0,9.999988,-0.0123381,-0.09087336,0.8007674
241.0,7.943272,0.06610654,-0.1822214,0.8007674
242.0,3.981066,0.2851621,-0.2378615,0.8002934
242.0,3.162273,0.2141834,-0.375927,0.8002934
244.0,1.584891,0.4443637,-0.5616023,0.7868638
250.0,0.794327,0.7806973,-0.5095199,0.815303
264.0,0.398106,0.9416184,-0.1713339,0.7682202
267.0,0.316227,0.9644645,-0.3003339,0.777068
271.0,0.251188,1.01137,-0.2292031,0.7666403
276.0,0.199526,1.010411,-0.2131955,0.7595305
283.0,0.158489,0.8390662,-0.2371385,0.7315653
291.0,0.125892,0.7430968,-0.2921284,0.7312493
301.0,0.1,0.5465161,-0.3948146,0.7756461
