Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 14:33:37 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)", "Voltage (V)"
"221", "100000", "-0,002636153", "-0,009523598", "0,7991874"
"222", "79432,82", "0,001434115", "0,0009208406", "0,7990295"
"222", "63095,73", "0,002043713", "0,001924228", "0,7990295"
"222", "50118,72", "0,002145808", "0,002408823", "0,7990295"
"222", "39810,71", "0,003397971", "0,000474911", "0,7990295"
"223", "31622,77", "0,003303763", "3,125511e-05", "0,7990295"
"223", "25118,86", "0,00379842", "-0,000145243", "0,7990295"
"223", "19952,62", "0,003920905", "-0,0003556678", "0,7990295"
"223", "15848,93", "0,004140324", "-0,0005497932", "0,7990295"
"224", "12589,25", "0,004295262", "-0,0006981548", "0,7988715"
"224", "9999,997", "0,00447167", "-0,0008305688", "0,7988715"
"224", "7943,28", "0,004546068", "-0,0009537147", "0,7988715"
"224", "6309,571", "0,004670254", "-0,001079373", "0,7988715"
"225", "5011,871", "0,004770198", "-0,001241942", "0,7995034"
"225", "3981,07", "0,004880331", "-0,001441193", "0,7995034"
"225", "3162,276", "0,00499147", "-0,001685792", "0,7995034"
"225", "2511,885", "0,005106945", "-0,00198615", "0,7995034"
"226", "1995,261", "0,005244488", "-0,002361497", "0,7983975"
"226", "1584,892", "0,005371233", "-0,002814821", "0,7983975"
"227", "1258,925", "0,005509578", "-0,003214469", "0,8445322"
"227", "999,9994", "0,00567995", "-0,00382366", "0,8445322"
"227", "794,3277", "0,005924498", "-0,00471916", "0,8445322"
"227", "630,9569", "0,006217807", "-0,005754471", "0,8445322"
"227", "501,1869", "0,006596948", "-0,007012983", "0,8445322"
"227", "398,1069", "0,007098446", "-0,008510821", "0,8445322"
"227", "316,2275", "0,007707323", "-0,01029765", "0,8445322"
"228", "251,1884", "0,00852919", "-0,01247663", "0,7996615"
"228", "199,5261", "0,009596539", "-0,0150949", "0,7996615"
"228", "158,4892", "0,01103431", "-0,01819466", "0,7996615"
"228", "125,8924", "0,01295613", "-0,02183827", "0,7996615"
"228", "99,99991", "0,01556579", "-0,02604079", "0,7996615"
"229", "79,43275", "0,01901369", "-0,03076759", "0,7996615"
"229", "63,09567", "0,02360242", "-0,03598035", "0,7996615"
"229", "50,11867", "0,02954496", "-0,0413457", "0,7996615"
"229", "39,81068", "0,03704134", "-0,04659392", "0,7996615"
"229", "31,62274", "0,04614658", "-0,05108736", "0,7996615"
"229", "25,11884", "0,05657357", "-0,05435416", "0,7996615"
"230", "19,9526", "0,06794135", "-0,05620716", "0,7987134"
"230", "15,84891", "0,07945757", "-0,05571689", "0,7987134"
"230", "12,58924", "0,09046025", "-0,05336592", "0,7987134"
"230", "9,999988", "0,1005252", "-0,04949003", "0,7987134"
"230", "7,943272", "0,109115", "-0,04492305", "0,7987134"
"231", "6,309565", "0,1161287", "-0,03938241", "0,7974495"
"231", "5,011866", "0,121954", "-0,03447772", "0,7974495"
"231", "3,981066", "0,1262689", "-0,0291407", "0,7974495"
"232", "3,162273", "0,129723", "-0,02440331", "0,8021894"
"232", "2,511883", "0,1320132", "-0,02029235", "0,8021894"
"233", "1,995259", "0,133658", "-0,01645686", "0,7901817"
"233", "1,584891", "0,1350624", "-0,01334133", "0,7901817"
"234", "1,258924", "0,1359021", "-0,01077116", "0,8067712"
"235", "0,999998", "0,1366117", "-0,008358644", "0,7985555"
"237", "0,794327", "0,1370595", "-0,006537515", "0,8306286"
"238", "0,630956", "0,1374837", "-0,005001092", "0,7835459"
"240", "0,501186", "0,1375821", "-0,003599674", "0,7882857"
"243", "0,398106", "0,13807", "-0,002678583", "0,851484"
"246", "0,316227", "0,1383814", "-0,001716195", "0,8429523"
"250", "0,251188", "0,1386918", "-0,001189718", "0,8491141"
"255", "0,199526", "0,1393943", "-0,0005559549", "0,852274"
"261", "0,158489", "0,1403314", "1,029487e-05", "0,8412143"
"269", "0,125892", "0,1415646", "-3,150064e-05", "0,8500621"
"280", "0,1", "0,1431668", "-3,476692e-06", "0,8053493"
