Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 14:33:37 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)", "Voltage (V)"
"698", "100000", "4,312412e-05", "0,001256463", "0,3993003"
"698", "79432,82", "0,001457441", "0,0004866539", "0,3993003"
"699", "63095,73", "0,001873509", "0,0002696484", "0,3993003"
"699", "50118,72", "0,001890924", "0,0006416907", "0,3993003"
"699", "39810,71", "0,002223831", "-9,200325e-05", "0,3993003"
"699", "31622,77", "0,002607684", "-0,0001826135", "0,3993003"
"700", "25118,86", "0,002808588", "-0,0003172389", "0,3993003"
"700", "19952,62", "0,002986331", "-0,0004616963", "0,3993003"
"700", "15848,93", "0,003121549", "-0,0005568197", "0,3993003"
"700", "12589,25", "0,003252337", "-0,0006814008", "0,3993003"
"701", "9999,997", "0,003375029", "-0,000795485", "0,3993003"
"701", "7943,28", "0,003497375", "-0,0009095687", "0,3993003"
"701", "6309,571", "0,003605478", "-0,00103104", "0,3993003"
"701", "5011,871", "0,003720112", "-0,00117643", "0,3993003"
"702", "3981,07", "0,003787941", "-0,001340351", "0,4034082"
"702", "3162,276", "0,003890627", "-0,001556654", "0,4034082"
"702", "2511,885", "0,004018198", "-0,001835287", "0,4034082"
"703", "1995,261", "0,0041384", "-0,002150639", "0,3828687"
"703", "1584,892", "0,004299007", "-0,002545944", "0,3828687"
"703", "1258,925", "0,004485924", "-0,003012552", "0,3828687"
"703", "999,9994", "0,004707989", "-0,003539104", "0,3828687"
"703", "794,3277", "0,00500123", "-0,004236799", "0,3828687"
"704", "630,9569", "0,005387086", "-0,005084378", "0,3994583"
"704", "501,1869", "0,00583261", "-0,006088289", "0,3994583"
"704", "398,1069", "0,006406865", "-0,007279832", "0,3994583"
"704", "316,2275", "0,007187007", "-0,00867871", "0,3994583"
"704", "251,1884", "0,008208016", "-0,01029111", "0,3994583"
"704", "199,5261", "0,009547434", "-0,01212654", "0,3994583"
"705", "158,4892", "0,01131123", "-0,01414419", "0,3991423"
"705", "125,8924", "0,01360033", "-0,01627794", "0,3991423"
"705", "99,99991", "0,01652231", "-0,01839624", "0,3991423"
"705", "79,43275", "0,02007777", "-0,02025731", "0,3991423"
"705", "63,09567", "0,0242362", "-0,02164571", "0,3991423"
"705", "50,11867", "0,02883648", "-0,02237462", "0,3991423"
"706", "39,81068", "0,03349722", "-0,02221151", "0,3996163"
"706", "31,62274", "0,03796273", "-0,02130835", "0,3996163"
"706", "25,11884", "0,04191855", "-0,01979399", "0,3996163"
"706", "19,9526", "0,04524534", "-0,01783585", "0,3996163"
"706", "15,84891", "0,04784731", "-0,01579136", "0,3996163"
"706", "12,58924", "0,0499262", "-0,0139374", "0,3996163"
"707", "9,999988", "0,05168354", "-0,01206978", "0,3993003"
"707", "7,943272", "0,05275677", "-0,01048362", "0,3993003"
"707", "6,309565", "0,05396832", "-0,009398305", "0,3993003"
"707", "5,011866", "0,05507515", "-0,00831118", "0,3993003"
"708", "3,981066", "0,05566772", "-0,007279973", "0,4008803"
"708", "3,162273", "0,05635033", "-0,006595616", "0,4008803"
"708", "2,511883", "0,0570101", "-0,00611428", "0,4008803"
"709", "1,995259", "0,05760596", "-0,005550213", "0,3912425"
"710", "1,584891", "0,05842331", "-0,005109515", "0,411308"
"710", "1,258924", "0,05910724", "-0,004792345", "0,411308"
"711", "0,999998", "0,05965611", "-0,00456284", "0,3994583"
"713", "0,794327", "0,06023857", "-0,004232785", "0,3801828"
"714", "0,630956", "0,06077532", "-0,003996506", "0,4318474"
"716", "0,501186", "0,06131385", "-0,003673467", "0,4380093"
"719", "0,398106", "0,06189525", "-0,0033241", "0,3705451"
"722", "0,316227", "0,0625139", "-0,003072865", "0,3795508"
"726", "0,251188", "0,06297275", "-0,00277899", "0,3677012"
"731", "0,199526", "0,06347246", "-0,002442783", "0,3598014"
"738", "0,158489", "0,06391661", "-0,002235579", "0,3318361"
"746", "0,125892", "0,06426463", "-0,00192819", "0,3307302"
"756", "0,1", "0,0645583", "-0,001771423", "0,374337"
