Experiment:, Cathode characterisation
Start date:, ?tvrtek 21. z??? 2023
Start time:, 15:46:43 +02:00
"Time (s)", "Current Density (A/cm2)"
"901", "0,01440752"
"902", "0,04846866"
"903", "0,04846866"
"904", "0,04846866"
"905", "0,04846866"
"906", "0,04831202"
"907", "0,04831202"
"908", "0,04893858"
"909", "0,0486253"
"910", "0,04799874"
"911", "0,04752883"
"912", "0,0478421"
"913", "0,04752883"
"914", "0,04721555"
"915", "0,04752883"
"916", "0,04768547"
"917", "0,04799874"
"918", "0,04799874"
"919", "0,04815539"
"920", "0,0478421"
"921", "0,0478421"
"922", "0,04768547"
"923", "0,04768547"
"924", "0,04878194"
"925", "0,04846866"
"926", "0,04878194"
"927", "0,04799874"
"928", "0,04768547"
"929", "0,04878194"
"930", "0,04799874"
"931", "0,04752883"
"932", "0,0478421"
"933", "0,04815539"
"934", "0,04752883"
"935", "0,04799874"
"936", "0,04831202"
"937", "0,0478421"
"938", "0,04768547"
"939", "0,04752883"
"940", "0,04878194"
"941", "0,04831202"
"942", "0,0478421"
"943", "0,0478421"
"944", "0,04737219"
"945", "0,04705891"
"946", "0,04690227"
"947", "0,04705891"
"948", "0,04705891"
"949", "0,04705891"
"950", "0,04737219"
"951", "0,04627572"
"952", "0,04658899"
"953", "0,04674564"
"954", "0,04674564"
"955", "0,04627572"
"956", "0,04690227"
"957", "0,04674564"
"958", "0,04690227"
"959", "0,04737219"
"960", "0,04737219"
"961", "0,04690227"
"962", "0,04658899"
"963", "0,04737219"
"964", "0,04752883"
"965", "0,04721555"
"966", "0,0478421"
"967", "0,04768547"
"968", "0,04674564"
"969", "0,04705891"
"970", "0,04690227"
"971", "0,04611908"
"972", "0,04611908"
"973", "0,04690227"
"974", "0,04674564"
"975", "0,04611908"
"976", "0,04643235"
"977", "0,04674564"
"978", "0,04658899"
"979", "0,04690227"
"980", "0,04690227"
"981", "0,04737219"
"982", "0,04690227"
"983", "0,04658899"
"984", "0,0458058"
"985", "0,04643235"
"986", "0,04596243"
"987", "0,04611908"
"988", "0,04596243"
"989", "0,04564916"
"990", "0,04674564"
"991", "0,04611908"
"992", "0,04596243"
"993", "0,04627572"
"994", "0,0458058"
"995", "0,04627572"
"996", "0,04658899"
"997", "0,04705891"
"998", "0,04737219"
"999", "0,04658899"
"1000", "0,04643235"
"1001", "0,04611908"
"1002", "0,04611908"
"1003", "0,04674564"
"1004", "0,04596243"
"1005", "0,04627572"
"1006", "0,04627572"
"1007", "0,04721555"
"1008", "0,04737219"
"1009", "0,04658899"
"1010", "0,04627572"
"1011", "0,04611908"
"1012", "0,04627572"
"1013", "0,04627572"
"1014", "0,04596243"
"1015", "0,0458058"
"1016", "0,04564916"
"1017", "0,04564916"
"1018", "0,04517924"
"1019", "0,04549251"
"1020", "0,04596243"
