Experiment:, EIS
Start date:, st?eda 4. ??jna 2023
Start time:, 17:44:38 +02:00
"Time (s)", "Voltage (V)"
"533", "0,4007223"
"534", "0,3986683"
"535", "0,4010383"
"536", "0,3988263"
"537", "0,4004063"
"538", "0,3993003"
"539", "0,3996163"
"540", "0,3997743"
"541", "0,4000903"
"542", "0,3989843"
"543", "0,3999323"
"544", "0,4002483"
"545", "0,3994583"
"546", "0,3991423"
"547", "0,4000903"
"548", "0,4000903"
"549", "0,3999323"
"550", "0,3999323"
"551", "0,3997743"
"552", "0,3993003"
"553", "0,3993003"
"554", "0,3993003"
"555", "0,4000903"
"556", "0,4000903"
"557", "0,3999323"
"558", "0,3993003"
"559", "0,3993003"
"560", "0,4007223"
"561", "0,3989843"
"562", "0,3994583"
"563", "0,4002483"
"564", "0,3996163"
"565", "0,3989843"
"566", "0,4000903"
"567", "0,4002483"
"568", "0,3986683"
"569", "0,4002483"
"570", "0,3997743"
"571", "0,3996163"
"572", "0,3997743"
"573", "0,4004063"
"574", "0,3996163"
"575", "0,4000903"
"576", "0,3996163"
"577", "0,3996163"
"578", "0,3997743"
"579", "0,3997743"
"580", "0,3991423"
"581", "0,3994583"
"582", "0,3991423"
"583", "0,4000903"
"584", "0,4002483"
"585", "0,3991423"
"586", "0,3997743"
"587", "0,3993003"
"588", "0,4008803"
"589", "0,3983523"
"590", "0,4002483"
"591", "0,3988263"
"592", "0,3983523"
"593", "0,4011963"
"593", "0,4011963"
"594", "0,3993003"
"594", "0,3993003"
"594", "0,3993003"
"594", "0,3993003"
"595", "0,3997743"
"595", "0,3997743"
"595", "0,3997743"
"595", "0,3997743"
"596", "0,3988263"
"596", "0,3988263"
"596", "0,3988263"
"596", "0,3988263"
"597", "1,031283"
"597", "1,031283"
"597", "1,031283"
"597", "1,031283"
"598", "1,154362"
"598", "1,154362"
"598", "1,154362"
"598", "1,154362"
"599", "0,3996163"
"599", "0,3996163"
"599", "0,3996163"
"599", "0,3996163"
"599", "0,3996163"
"599", "0,3996163"
"600", "0,3994583"
"600", "0,3994583"
"600", "0,3994583"
"600", "0,3994583"
"600", "0,3994583"
"600", "0,3994583"
"601", "0,3996163"
"601", "0,3996163"
"601", "0,3996163"
"601", "0,3996163"
"601", "0,3996163"
"602", "0,4035662"
"602", "0,4035662"
"602", "0,4035662"
"602", "0,4035662"
"602", "0,4035662"
"603", "0,3994583"
"603", "0,3994583"
"603", "0,3994583"
"604", "0,4013543"
"605", "0,3936124"
"605", "0,3936124"
"606", "0,3993003"
"607", "0,4157318"
"608", "0,4013543"
"609", "0,374021"
"610", "0,4435391"
"611", "0,3555355"
"612", "0,449069"
"613", "0,3710191"
"614", "0,3948765"
"615", "0,4530188"
"616", "0,3541135"
"617", "0,3831847"
"618", "0,4628146"
"619", "0,4053041"
"620", "0,336576"
"621", "0,3950344"
"622", "0,4637626"
"623", "0,4345334"
"624", "0,3572734"
"625", "0,3383139"
"626", "0,4037242"
"627", "0,4624986"
"628", "0,4547568"
"629", "0,3966144"
"630", "0,3413159"
"631", "0,3391039"
"632", "0,3921905"
"633", "0,4506489"
"634", "0,4680285"
"635", "0,4438551"
"636", "0,3932965"
"637", "0,3466877"
"638", "0,3313622"
"639", "0,3566415"
"640", "0,4073581"
"641", "0,4528608"
"642", "0,4688184"
"643", "0,4579167"
"644", "0,4247376"
"645", "0,3820788"
"646", "0,3458978"
"647", "0,3302562"
"648", "0,3413159"
"649", "0,374495"
"650", "0,4173118"
"651", "0,4190498"
