Experiment:, EIS
Start date:, ?tvrtek 21. z??? 2023
Start time:, 15:28:40 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)", "Voltage (V)"
"362", "100000", "0,01275961", "-0,001057556", "0,6982282"
"362", "79432,82", "0,003080667", "-0,004364508", "0,6982282"
"363", "63095,73", "0,00748119", "-0,0008432918", "0,6996501"
"363", "50118,72", "0,01431465", "-0,0009852002", "0,6996501"
"363", "39810,71", "0,007765702", "-0,005463498", "0,6996501"
"363", "31622,77", "0,01199447", "0,0003544694", "0,6996501"
"364", "25118,86", "0,0157269", "0,003202839", "0,7001241"
"364", "19952,62", "0,003516801", "-0,006577614", "0,7001241"
"364", "15848,93", "0,001678503", "-0,003653186", "0,7001241"
"364", "12589,25", "-0,02151906", "-0,00596723", "0,7001241"
"365", "9999,997", "-7,37702e-05", "-0,006541687", "0,6979122"
"365", "7943,28", "0,001167618", "0,00842243", "0,6979122"
"365", "6309,571", "0,02107511", "-0,002171482", "0,6979122"
"365", "5011,871", "0,01049644", "0,005345582", "0,6979122"
"366", "3981,07", "0,007841359", "-0,01274743", "0,70123"
"366", "3162,276", "0,00796329", "-0,004525409", "0,70123"
"366", "2511,885", "0,007011968", "-0,006876141", "0,70123"
"366", "1995,261", "0,009048345", "-0,006108589", "0,70123"
"367", "1584,892", "0,00960333", "-0,006655871", "0,5106873"
"367", "1258,925", "0,01034889", "-0,007868857", "0,5106873"
"368", "999,9994", "0,01152353", "-0,008727245", "0,6938043"
"368", "794,3277", "0,0143109", "-0,01084712", "0,6938043"
"368", "630,9569", "0,01496727", "-0,0115767", "0,6938043"
"368", "501,1869", "0,01711414", "-0,0127794", "0,6938043"
"368", "398,1069", "0,01655687", "-0,0166092", "0,6938043"
"368", "316,2275", "0,01732735", "-0,02016318", "0,6938043"
"370", "251,1884", "0,02149471", "-0,02145643", "0,6974382"
"370", "199,5261", "0,02370214", "-0,02292379", "0,6974382"
"370", "158,4892", "0,02084849", "-0,02365304", "0,6974382"
"370", "125,8924", "0,02580245", "-0,02523591", "0,6974382"
"370", "99,99991", "0,03463175", "-0,03504041", "0,6974382"
"370", "79,43275", "0,03502129", "-0,03778721", "0,6974382"
"370", "63,09567", "0,03813687", "-0,03559864", "0,6974382"
"370", "50,11867", "0,04540755", "-0,04871088", "0,6974382"
"370", "39,81068", "0,0302629", "-0,0403497", "0,6974382"
"371", "31,62274", "0,07560181", "-0,06078796", "0,6991761"
"371", "25,11884", "0,05153504", "-0,05937994", "0,6991761"
"371", "19,9526", "0,041907", "-0,07447918", "0,6991761"
"371", "15,84891", "0,05913286", "-0,09304015", "0,6991761"
"371", "12,58924", "0,07946768", "-0,123525", "0,6991761"
"371", "9,999988", "0,1280861", "-0,09903806", "0,6991761"
"372", "7,943272", "0,161679", "-0,09870366", "0,6972802"
"372", "6,309565", "0,1546621", "-0,06365365", "0,6972802"
"372", "5,011866", "0,1248965", "-0,1095541", "0,6972802"
"372", "3,981066", "0,2391407", "-0,0741647", "0,6972802"
"373", "3,162273", "0,1345899", "-0,1257471", "0,7013881"
"373", "2,511883", "0,2632143", "-0,1826161", "0,7013881"
"374", "1,995259", "0,2856643", "-0,1574086", "0,7032841"
"374", "1,584891", "0,3688254", "-0,1101717", "0,7032841"
"376", "1,258924", "0,4406844", "-0,1280358", "0,6889064"
"379", "0,999998", "0,3927939", "-0,1461081", "0,6993341"
"381", "0,794327", "0,3713372", "-0,03927693", "0,7181356"
"384", "0,630956", "0,4246731", "-0,01291152", "0,6963323"
"386", "0,501186", "0,4164048", "-0,06468596", "0,6985442"
"389", "0,398106", "0,4245194", "-0,04059254", "0,7563706"
"392", "0,316227", "0,3997096", "-0,03946298", "0,7377271"
"396", "0,251188", "0,4152185", "0,006858245", "0,7440469"
"401", "0,199526", "0,4063716", "0,02341381", "0,741361"
"407", "0,158489", "0,3954048", "0,007059251", "0,7326713"
"415", "0,125892", "0,3192455", "-0,06843098", "0,7364632"
"425", "0,1", "0,3523603", "0,02658466", "0,7333032"
