Experiment:, Cathode characterisation
Start date:, p?tek 4. listopadu 2022
Start time:, 13:37:32 +01:00
"Time (s)", "Current Density (A/cm2)"
"31", "0,02222558"
"32", "0,02841884"
"33", "0,02575597"
"34", "0,02575597"
"35", "0,02465949"
"36", "0,02481613"
"37", "0,02481613"
"38", "0,02544269"
"39", "0,02434622"
"40", "0,02434622"
"41", "0,02481613"
"42", "0,02434622"
"43", "0,02434622"
"44", "0,02450286"
"45", "0,02497277"
"46", "0,02481613"
"47", "0,02418958"
"48", "0,02434622"
"49", "0,02481613"
"50", "0,02544269"
"51", "0,02497277"
"52", "0,02544269"
"53", "0,02497277"
"54", "0,02559933"
"55", "0,02512941"
"56", "0,02481613"
"57", "0,02481613"
"58", "0,02418958"
"59", "0,02403294"
"60", "0,02512941"
"61", "0,02465949"
"62", "0,02418958"
"63", "0,02418958"
"64", "0,02403294"
"65", "0,02465949"
"66", "0,02418958"
"67", "0,02465949"
"68", "0,02434622"
"69", "0,02481613"
"70", "0,02465949"
"71", "0,02418958"
"72", "0,02434622"
"73", "0,02434622"
"74", "0,02403294"
"75", "0,02450286"
"76", "0,02497277"
"77", "0,02403294"
"78", "0,02450286"
"79", "0,02324974"
"80", "0,02324974"
"81", "0,02340638"
"82", "0,0238763"
"83", "0,02465949"
"84", "0,02481613"
"85", "0,02481613"
"86", "0,02434622"
"87", "0,02403294"
"88", "0,02418958"
"89", "0,02277982"
"90", "0,02262319"
"91", "0,0230931"
"92", "0,02324974"
"93", "0,02340638"
"94", "0,02434622"
"95", "0,02450286"
"96", "0,02497277"
"97", "0,02403294"
"98", "0,0238763"
"99", "0,02371966"
"100", "0,0230931"
"101", "0,02293646"
"102", "0,02246655"
"103", "0,02324974"
"104", "0,02403294"
"105", "0,02418958"
"106", "0,02434622"
"107", "0,0238763"
"108", "0,02371966"
"109", "0,02262319"
"110", "0,02356302"
"111", "0,02340638"
"112", "0,02340638"
"113", "0,02340638"
"114", "0,02215327"
"115", "0,02340638"
"116", "0,0230931"
"117", "0,0238763"
"118", "0,02418958"
"119", "0,02403294"
"120", "0,02418958"
"121", "0,02356302"
"122", "0,02371966"
"123", "0,02324974"
"124", "0,02371966"
"125", "0,0238763"
"126", "0,02434622"
"127", "0,0238763"
"128", "0,02434622"
"129", "0,02450286"
"130", "0,02434622"
"131", "0,02481613"
"132", "0,02481613"
"133", "0,02418958"
"134", "0,02434622"
"135", "0,02450286"
"136", "0,02465949"
"137", "0,02371966"
"138", "0,02246655"
"139", "0,02090015"
"140", "0,02105679"
"141", "0,02152671"
"142", "0,02262319"
"143", "0,02403294"
"144", "0,02371966"
"145", "0,02262319"
"146", "0,02121343"
"147", "0,02199663"
"148", "0,02215327"
"149", "0,02215327"
"150", "0,02105679"
